affix	base_pos	deriv_pos
acho	N	N
ijo	N	N
erío	N	N
icio	J	J
zote	N	N
aco	N	N
azo	J	J
iento	J	J
uelo	J	J
ito	V	R
ar	J	N
fono	N	J
ito	R	N
óptero	V	N
mano	N	N
eta	N	J
itis	J	N
és	N	N
ización	J	N
eño	R	N
ico	V	R
ejo	N	J
zón	N	N
dura	J	N
ejo	J	N
bilidad	V	N
ense	J	J
ucha	J	N
teo	N	N
dora	N	N
cito	N	J
ostomía	N	N
lisis	N	N
ingo	N	N
forme	N	J
ial	J	J
scopia	J	N
lito	N	N
eco	J	J
idor	V	J
ico	N	V
dromo	V	N
tor	V	N
torio	N	N
ata	J	N
aga	N	N
engo	N	J
ismo	N	J
esa	J	J
ura	N	J
eza	R	N
mente	J	J
udo	N	N
esa	J	N
ado	V	V
nte	V	N
or	V	J
ivo	V	N
or	J	J
ote	V	V
ación	V	J
ura	J	J
miento	V	J
és	N	V
uro	J	N
ible	N	J
uela	V	N
ocha	N	N
isa	J	N
ora	V	J
ial	N	N
eja	N	J
aria	N	N
ino	J	N
illa	N	J
or	N	J
ía	J	J
erio	J	N
isa	N	N
erón	J	N
ejar	N	V
eño	V	J
án	N	J
ano	R	J
eza	J	J
adora	V	J
acho	J	J
illa	J	J
olento	J	J
eja	J	N
ada	N	J
anda	N	N
ico	J	R
ación	J	N
ficar	N	V
adizo	V	J
isco	N	N
ascar	V	N
azo	N	J
osa	N	J
al	R	N
ugo	J	N
allo	N	N
a	J	J
uelo	N	J
ción	V	J
año	V	N
ecer	V	V
ería	J	J
azo	V	J
cillo	N	J
cillo	J	N
az	J	J
ivo	N	N
ez	V	N
io	N	J
ique	N	J
izo	J	N
ador	N	J
ano	R	N
arro	N	N
ado	N	V
iza	V	N
ía	N	J
ismo	J	J
iego	J	J
astre	J	N
aro	N	N
eto	N	N
ador	N	N
adora	V	N
ide	N	N
és	J	J
idad	J	J
ido	V	V
ísimo	J	N
esco	N	N
orio	J	N
atorio	J	N
illo	V	N
iña	J	N
el	N	J
ío	J	J
ia	J	J
era	V	J
edo	N	N
ío	N	J
eco	N	N
ujo	N	J
men	N	N
sía	N	N
a	V	N
voro	N	J
ncia	J	N
nte	V	J
ear	N	J
teca	N	J
añero	N	J
vento	N	N
bilísimo	J	J
rón	J	J
fobia	N	N
mano	J	J
menta	N	N
́ico	N	J
oco	N	N
sis	N	N
ecilla	N	N
esa	N	J
ena	N	N
ible	J	J
orexia	N	N
ujo	N	N
dera	V	N
azón	V	N
stático	N	J
oso	N	N
́fero	N	N
onga	V	N
ativo	V	N
anga	V	N
ble	V	J
gón	V	J
jón	N	N
íneo	N	J
nte	N	N
ango	V	J
icio	V	N
mento	N	N
1	N	J
azón	N	N
ncia	V	N
ario	V	J
uco	J	J
uga	N	N
lotodo	V	N
áneo	N	J
teco	N	J
ría	J	N
che	N	N
orro	N	J
ésimo	J	J
sco	V	J
turía	V	N
astra	N	N
uso	N	N
embre	V	N
ceo	N	N
amen	N	N
ear	N	N
metría	J	N
abilidad	V	N
miento	N	J
nomía	N	N
anco	N	N
patía	J	N
oco	J	J
oca	N	N
cete	J	J
ezuelo	N	N
el	N	N
cico	J	J
ndo	V	N
cico	N	J
rio	N	J
iluminar	J	V
nta	V	N
fugo	N	J
dizo	V	J
ambre	N	N
rio	N	N
ojo	N	J
tera	V	N
ona	J	N
ete	V	J
eada	N	N
zuelo	J	N
ita	R	N
reda	N	N
cial	J	J
ija	N	N
arda	N	N
una	J	N
nte	N	J
zación	N	N
niento	N	J
amiento	N	N
tón	N	N
termia	N	N
ficar	J	V
mente	N	J
isimo	J	N
eno	N	N
ica	N	J
ilo	N	N
o	V	J
metra	N	N
ante	N	N
ento	V	J
triz	N	J
cico	N	N
il	V	J
encapotar	N	V
ijo	V	N
cida	J	J
atario	J	N
eado	J	J
sis	J	N
anga	N	N
zar	N	V
izco	J	J
uno	N	N
cete	N	N
dero	N	J
ío	J	N
fero	N	J
ísimo	R	R
ura	R	N
ble	N	J
oma	V	N
ncia	N	N
ndo	V	J
ísimo	N	J
ísimo	V	J
uar	N	V
al	V	N
císimo	N	J
dera	N	N
ina	V	N
nte	J	J
ño	N	J
yente	V	J
eta	V	J
er	N	N
ote	N	V
s	N	N
ir	N	V
ol	N	N
io	V	N
isco	N	V
ativo	V	J
ete	N	V
ete	J	V
aza	V	N
ica	V	J
nta	J	N
aje	N	V
aría	J	N
to	V	N
ujo	V	N
mancia	N	N
fanía	N	N
hídrico	N	J
e	V	J
eo	J	J
ía	V	N
atario	V	N
ble	J	J
e	N	N
eta	J	J
az	J	N
cero	N	N
iço	J	J
ío	V	J
ión	J	N
uja	N	N
azas	N	J
cismo	N	N
ecica	N	N
lotodo	N	J
ia	V	N
il	V	N
ésimo	N	N
atico	N	J
ito	V	J
ístico	J	J
ativo	J	J
itivo	V	J
is	R	R
triz	V	N
cica	N	N
zuela	N	N
ucho	J	N
áneo	J	J
áneo	V	J
aco	V	N
án	N	N
elo	N	J
iar	J	V
o	J	N
plastia	N	N
ilidad	J	N
ujo	V	V
ejo	N	V
arro	J	J
do	N	N
is	N	N
cia	V	N
génesis	J	N
tivo	V	J
titud	J	N
ativo	N	J
génito	N	J
ma	V	N
tico	J	J
torio	J	J
ardo	N	J
ucio	J	J
igo	J	J
ente	N	N
ola	N	N
arro	J	N
illizo	N	J
s	J	J
ez	J	J
era	J	J
encia	J	J
enco	N	N
morfo	N	J
azgo	N	J
ita	R	J
zón	V	J
ción	J	J
edad	J	J
án	V	N
ete	N	J
algia	N	J
ota	J	N
osis	N	J
able	J	J
tar	N	N
nauta	N	N
metro	N	J
itis	N	J
uela	N	J
uria	N	J
emia	N	J
ato	V	J
aje	V	J
asa	N	J
aje	N	J
ia	N	J
oma	N	J
í	N	N
ón	R	N
ectomía	N	J
ería	N	J
cita	N	J
ancia	V	J
ería	V	J
ida	V	J
patía	N	J
ción	N	J
aza	N	J
dura	V	J
mente	V	J
ada	J	J
logía	N	J
filo	N	J
ajo	J	J
uria	J	J
mento	V	J
ísimo	N	R
ación	N	J
able	V	N
ata	N	J
es	N	J
ancia	J	J
dromo	N	J
le	V	J
ado	J	J
cidio	N	J
filo	J	J
ica	R	J
cracia	N	J
burgo	N	J
landia	N	J
ización	N	J
ez	N	J
acho	N	J
ijo	N	J
uno	J	J
ico	J	N
ura	V	J
eo	V	V
itis	J	J
ización	J	J
ucha	N	J
aje	J	J
osis	J	J
izo	V	N
bilidad	V	J
tomía	N	J
ostomía	N	J
bilidad	J	J
dero	J	J
lisis	N	J
génico	N	J
scopia	J	J
é	N	J
